Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Comments
1,Document,,,,,,,,,Draft,Term Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,COURSE,PK,CRS_NUM,INTEGER,FK,DPT_CODE,VARCHAR(8),,CRS_TITLE,VARCHAR(120),,CRS_CREDS,"NUMERIC(3, 1)",,CRS_DESC,TEXT,,,,,,,,,,,,,
4,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,SECTION,PK,SECTION_ID,VARCHAR(8),FK,TERM_CODE,TEXT (ENUM),,SEC_LOC,VARCHAR(50),,SEC_TYPE,VARCHAR(30),,SEC_START_DATE,DATE,,SEC_END_DATE,DATE,,SEC_DAYS,DATE,,SEC_CAP,INTEGER (1 - 999),,,,
5,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,PROFESSOR,PK,PROF_ID,VARCHAR(10) (^A[0-9]{8}$),,PROF_LAST_NAME,VARCHAR(50),,PROF_FIRST_NAME,VARCHAR(50),,PROF_DOB,DATE,,PROF_EMAIL,VARCHAR(50),,PROF_PHONE,VARCHAR(15),,PROF_HIRE_DATE,DATE (CURR_DATE),,,,,,,
6,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,SET,PK,SET_NAME,VARCHAR(2),,PROGRAM,VARCHAR(8),,TERM_YEAR,INTEGER,,SET_CAPACITY,INTEGER,,,,,,,,,,,,,,,,
7,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,PROGRESS,PK,PROG_ID,VARCHAR (8),FK,STU_ID,VARCHAR(10) (^A[0-9]{8}$),,PROG_ATTENDANCE,TEXT (ENUM),,PROG_PREPARENESS,BOOLEAN,,PROG_LAB_SUBMIT,VARCHAR(255) (LINK),,PROG_FINAL_SUBMIT,VARCHAR(255) (LINK),,PROG_SELF_SCORE,DOUBLE (0.0 - 100.0),,PROG_PROF_SCORE,DOUBLE (0.0 - 100.0),,PROG_NOTES,TEXT,
8,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,TERM,PK,TERM_CODE,INTEGER,,TERM_SEM,TEXT (ENUM),,TERM_YEAR,SMALLINT,,TERM_NAME,VARCHAR(20),,,,,,,,,,,,,,,,
9,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,PROGRESS_LOG,PK,LOG_ID,VARCHAR(8),FK,PROG_ID,VARCHAR (8),FK,CRS_NUM,INTEGER,,LOG_CHANGES,TEXT,,LOG_TIMESTAMP,DATETIME,,WEIGHT,INTEGER,,,,,,,,,,
10,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,LAB_SESSION,"PK, FK",SESSION_ID,VARCHAR(8),FK,SET_ID,VARCHAR(10),FK,SECTION_ID,VARCHAR(8),FK,PROF_ID,VARCHAR(10) (^A[0-9]{8}$),,SES_MEET_DATES,DATE,,SES_DUE_DATES,DATE,,SES_START_TIME,TIME,,SES_END_TIME,TIME,,SES_LOC,VARCHAR(50),
11,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,LAB,"PK, FK",SECTION_ID,VARCHAR(8),,LAB_NAME,VARCHAR(20),,LAB_TYPE,VARCHAR(2),,DELIVERABLE,VARCHAR(20),,,,,,,,,,,,,,,,
12,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,LECTURE,"PK, FK",SECTION_ID,TEXT (ENUM),,DELIVERY,VARCHAR(30),,LEC_NAME,VARCHAR(50),,LECTURE_HOURS,TIME,,,,,,,,,,,,,,,,
13,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,STUDENT,PK,STU_ID,VARCHAR(10) (^A[0-9]{8}$),FK,SET_NAME,VARCHAR (2),FK,TERM_SEM,TEXT (ENUM),,STU_LAST_NAME,VARCHAR(50),,STU_FIRST_NAME,VARCHAR(50),,STU_DOB,DATE,,STU_ADMIT_DATE,DATE (CURR_DATE),,STU_EMAIL,VARCHAR(50),,STU_PHONE,VARCHAR(15),
14,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,SECTION_TEACHER_ALLOCATION,"PK, FK",SECTION_ID,VARCHAR(8),"PK, FK",PROF_ID,VARCHAR(10) (^A[0-9]{8}$),,SYLLABUS,"NUMERIC(3, 1)",,OFFICE_HOURS,DATE,,,,,,,,,,,,,,,,
15,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,SUBMISSION,PK,SUB_ID,VARCHAR(8),FK,STU_ID,VARCHAR(10) (^A[0-9]{8}$),FK,SESSION_ID,VARCHAR (8),FK,PROG_ID,VARCHAR (8),,SUBMITTED_AT,TIMESTAMPTZ,,DUE_DATE,DATE,,STATUS,VARCHAR(50),,LATE_PENALTY,BOOLEAN,,ARTIFACT,,
16,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,ENROLLMENT,"PK, FK",STU_ID,VARCHAR(10) (^A[0-9]{8}$),"PK, FK",SECTION_ID,SMALLINT,,STATUS,VARCHAR(20),,DATE_ENROLLED,DATE,,,,,,,,,,,,,,,,
17,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,DEPARTMENT,PK,DPT_CODE,VARCHAR(8),,DPT_NAME,VARCHAR(50),,DPT_SCHOOL,VARCHAR(120),,DPT_PHONE_NUM,VARCHAR(15),,DPT_EMAIL,VARCHAR(50),,DPT_WEBSITE,VARCHAR(50),,,,,,,,,,
18,Line,,2,,,6,10,CFN ERD Exactly One Arrow,CFN ERD Zero Or More Arrow,,BELONGS TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Line,,2,,,11,10,CFN ERD Exactly One Arrow,CFN ERD One Or More Arrow,,SCHEDULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Line,,2,,,13,6,CFN ERD Many Arrow,CFN ERD Exactly One Arrow,,IS IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Line,,2,,,3,9,CFN ERD Exactly One Arrow,CFN ERD One Or More Arrow,,DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Line,,2,,,7,13,CFN ERD Exactly One Arrow,CFN ERD Exactly One Arrow,,ACHIEVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Line,,2,,,8,4,CFN ERD Exactly One Arrow,CFN ERD Zero Or More Arrow,,SCHEDULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Line,,2,,,7,9,CFN ERD Exactly One Arrow,CFN ERD One Or More Arrow,,GENERATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Line,,2,,,10,5,CFN ERD One Or More Arrow,CFN ERD Exactly One Arrow,,TEACHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Line,,2,,,14,4,CFN ERD Zero Or More Arrow,CFN ERD Exactly One Arrow,,ALLOCATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Line,,2,,,4,11,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Line,,2,,,4,12,None,None,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Line,,2,,,14,5,CFN ERD Zero Or More Arrow,CFN ERD Exactly One Arrow,,ASSIGNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Line,,2,,,10,15,CFN ERD Exactly One Arrow,CFN ERD Zero Or More Arrow,,ASSIGNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Line,,2,,,3,4,CFN ERD Exactly One Arrow,CFN ERD One Or More Arrow,,OFFERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Line,,2,,,13,15,CFN ERD Exactly One Arrow,CFN ERD Zero Or More Arrow,,SUBMITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Line,,2,,,15,7,CFN ERD Zero Or More Arrow,CFN ERD Exactly One Arrow,,SUPPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Line,,2,,,13,16,CFN ERD Exactly One Arrow,CFN ERD Zero Or More Arrow,,MAINTAINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
